ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-09-28T14:51:08Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,40947,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Alexander Hamilton,Leslie Odom Jr.,Hamilton,spotify:track:4TTV7EcfroSLWzXRY6gLv6,,,,playbtn,endplay,False,,False,0,False
2021-10-03T04:11:24Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,179081,AE,2001:8f8:1623:f8e:d520:435c:a322:103f,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Alexander Hamilton,Leslie Odom Jr.,Hamilton,spotify:track:4TTV7EcfroSLWzXRY6gLv6,,,,playbtn,unexpected-exit-while-paused,False,,False,0,False
2021-10-11T07:48:09Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.61;desktop,944,AE,2001:8f8:1623:f8e:cd14:7199:ffeb:9357,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.61%20Safari%2F537.36",Lollipop (Remix),ArTurial,Lollipop (Remix),spotify:track:1Xet542sMWHn0rGRydPM6v,,,,remote,unexpected-exit,False,,False,0,False
2021-10-11T07:48:52Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,2283,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",deja vu,Olivia Rodrigo,SOUR,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,,,,remote,endplay,False,,False,0,False
2021-10-11T07:49:23Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,28958,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Die For You,The Weeknd,Starboy,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:06Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,31992,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Another Love,Tom Odell,Long Way Down (Deluxe),spotify:track:3JvKfv6T31zO0ini8iNItO,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:08Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,706,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Calathea,Ruth de las Plantas,Calathea,spotify:track:7hZmmVkXoq61EWO6hvmPvW,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:08Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,706,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Calathea,Ruth de las Plantas,Calathea,spotify:track:7hZmmVkXoq61EWO6hvmPvW,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:36Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,27689,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Calathea,Ruth de las Plantas,Calathea,spotify:track:7hZmmVkXoq61EWO6hvmPvW,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:36Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,27689,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Calathea,Ruth de las Plantas,Calathea,spotify:track:7hZmmVkXoq61EWO6hvmPvW,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:41Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,3967,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Dynamite,BTS,Dynamite,spotify:track:0t1kP63rueHleOhQkYSXFY,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:43Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,3967,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",DÁKITI,Bad Bunny,DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:55:43Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,0,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",DÁKITI,Bad Bunny,DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS,,,,playbtn,endplay,False,,False,0,False
2021-10-11T07:56:04Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,19825,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",DÁKITI,Bad Bunny,DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS,,,,playbtn,endplay,False,,False,0,False
2021-10-20T13:33:00Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.71;desktop,70426,AE,2001:8f8:1623:32bd:4852:68a8:129d:e473,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.71%20Safari%2F537.36",Blinding Lights,The Weeknd,After Hours,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,,,,playbtn,unexpected-exit-while-paused,False,,False,0,False
2021-10-27T05:45:45Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 94.0.4606.81;desktop,1198,AE,2001:8f8:1623:32bd:49a7:37b9:53e1:917d,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F94.0.4606.81%20Safari%2F537.36",Bag!,Cloutgate,Bag!,spotify:track:3WGn5XLR0t8e4K3glTlkD0,,,,remote,unexpected-exit,False,,False,0,False
2021-10-27T05:50:03Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 95.0.4638.54;desktop,162710,AE,2001:8f8:1623:7a9e:796d:170d:f4b6:a78a,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F95.0.4638.54%20Safari%2F537.36",Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,remote,trackdone,False,,False,0,False
2021-10-27T05:50:03Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 95.0.4638.54;desktop,162710,AE,2001:8f8:1623:7a9e:796d:170d:f4b6:a78a,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F95.0.4638.54%20Safari%2F537.36",Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,remote,trackdone,False,,False,0,False
2021-10-27T05:54:07Z,txarhapocwncdtuoq8fj5cyq0,web_player windows 10;chrome 95.0.4638.54;desktop,239781,AE,2001:8f8:1623:7a9e:796d:170d:f4b6:a78a,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F95.0.4638.54%20Safari%2F537.36",Awidan Yanawa,Yohani,Awidan Yanawa,spotify:track:7s2fLyvgcSOzuA0rBHuFSE,,,,trackdone,trackdone,False,,False,0,False
2021-10-27T05:55:36Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),4260,AE,92.99.104.34,unknown,"Shiddat (Female Version) [From ""Shiddat""]",Yohani,"Shiddat (Female Version) [From ""Shiddat""]",spotify:track:7BadI3eRrbtM2vQSo8nPSa,,,,remote,logout,False,,False,1635314124324,False
2021-10-27T05:56:08Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),1000,AE,92.99.104.34,unknown,LOCO,ITZY,CRAZY IN LOVE,spotify:track:5b8FtevTVz8xVF6E208xeV,,,,playbtn,unexpected-exit,False,,False,1635314144579,False
2021-10-27T05:56:34Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),18360,AE,92.99.104.34,unknown,Oblivion,Halfy & Winks,Oblivion,spotify:track:12tNhM2Q3dOQXFpIyJUjzZ,,,,clickrow,endplay,False,,False,1635314176313,False
2021-10-27T05:57:35Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),60080,AE,92.99.104.34,unknown,Manike Mage Hithe - Hindi Version,R - SMACK,Manike Mage Hithe (Hindi Version),spotify:track:0uVYfJ8duHMBH2KnVBMmnK,,,,clickrow,endplay,False,,False,1635314195473,False
2021-10-27T06:00:17Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,clickrow,trackdone,False,,False,1635314256181,False
2021-10-27T06:03:01Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635314418371,False
2021-10-27T06:05:44Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635314581639,False
2021-10-27T06:08:27Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635314744921,False
2021-10-27T06:11:11Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635314908201,False
2021-10-27T06:13:54Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315071493,False
2021-10-27T06:16:37Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315234736,False
2021-10-27T06:19:20Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315398000,False
2021-10-27T06:22:03Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315561277,False
2021-10-27T06:24:47Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315724558,False
2021-10-27T06:27:30Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635315887830,False
2021-10-27T06:32:55Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635316051102,False
2021-10-27T06:35:39Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635316376458,False
2021-10-27T06:38:23Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),162772,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,trackdone,False,,False,1635316540315,False
2021-10-27T06:41:01Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),155547,AE,92.99.104.34,unknown,Manike Mage Hithe,Chamath Sangeeth,Manike Mage Hithe,spotify:track:5JO2usoem1CW1pLL1kLj9E,,,,trackdone,endplay,False,,False,1635316704269,False
2021-10-27T06:45:31Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),269184,AE,92.99.104.34,unknown,I Miss The Days,NF,The Search,spotify:track:3ebfDw8WEbf0DxGh47R2lo,,,,playbtn,trackdone,False,,False,1635316862106,False
2021-10-27T06:50:02Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),269184,AE,92.99.104.34,unknown,I Miss The Days,NF,The Search,spotify:track:3ebfDw8WEbf0DxGh47R2lo,,,,trackdone,trackdone,False,,False,1635317132032,False
2021-10-27T06:54:33Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),269184,AE,92.99.104.34,unknown,I Miss The Days,NF,The Search,spotify:track:3ebfDw8WEbf0DxGh47R2lo,,,,trackdone,trackdone,False,,False,1635317402625,False
2021-10-27T06:59:13Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),248053,AE,92.99.104.34,unknown,The Search,NF,The Search,spotify:track:3oLe5ZILASG8vU5dxIMfLY,,,,trackdone,trackdone,False,,False,1635317704537,False
2021-10-27T07:04:23Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),308651,AE,92.99.104.34,unknown,Leave Me Alone,NF,The Search,spotify:track:3EtyEzMpfKSaoVhPunvbRV,,,,trackdone,trackdone,False,,False,1635317953874,False
2021-10-27T07:08:18Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),234074,AE,92.99.104.34,unknown,Change,NF,The Search,spotify:track:4cBlIM5AjnQ74f52Dv7T5K,,,,trackdone,trackdone,False,,False,1635318263907,False
2021-10-27T07:14:48Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),252711,AE,92.99.104.34,unknown,My Stress,NF,The Search,spotify:track:0aQA9DP54h37OevE7hRc2a,,,,trackdone,trackdone,False,,False,1635318499174,False
2021-10-27T07:20:04Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),315720,AE,92.99.104.34,unknown,Nate,NF,The Search,spotify:track:1SDtZ69uALD5zW8k9S8hTf,,,,trackdone,trackdone,False,,False,1635318889009,False
2021-10-27T07:24:04Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),240428,AE,92.99.104.34,unknown,Time,NF,The Search,spotify:track:6MxMqCgqmekcr0VwSU7AVH,,,,trackdone,trackdone,False,,False,1635319204893,False
2021-10-27T07:32:15Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),350969,AE,92.99.104.34,unknown,Returns,NF,The Search,spotify:track:2uEuo87JC9tc1dzmPUtOxj,,,,trackdone,trackdone,False,,False,1635319445292,False
2021-10-27T07:35:31Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),196800,AE,92.99.104.34,unknown,When I Grow Up,NF,The Search,spotify:track:5rLyYxZNzca00ENADO9m54,,,,trackdone,trackdone,False,,False,1635319935472,False
2021-10-27T07:39:17Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),225440,AE,92.99.104.34,unknown,Only,NF,The Search,spotify:track:5lehoWkVPujeOAwb8BO0uK,,,,trackdone,trackdone,False,,False,1635320132307,False
2021-10-27T07:42:42Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),199877,AE,92.99.104.34,unknown,Let Me Go,NF,The Search,spotify:track:2PqSOrlabozEH6KXs7BvQr,,,,trackdone,endplay,False,,False,1635320357698,False
2021-10-27T07:43:55Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),72370,AE,92.99.104.34,unknown,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",spotify:track:6JV2JOEocMgcZxYSZelKcc,,,,playbtn,endplay,False,,False,1635320562663,False
2021-10-27T07:43:59Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),4060,AE,92.99.104.34,unknown,"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,spotify:track:60nZcImufyMA1MKQY3dcCH,,,,clickrow,endplay,False,,False,1635320635738,False
2021-10-27T07:47:47Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),228346,AE,92.99.104.34,unknown,Fireflies,Owl City,Ocean Eyes,spotify:track:3DamFFqW32WihKkTVlwTYQ,,,,clickrow,trackdone,False,,False,1635320639927,False
2021-10-27T07:51:58Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),251173,AE,92.99.104.34,unknown,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,What Is Love?,spotify:track:2hrUO4drrO63i7FYbCLBl2,,,,trackdone,trackdone,False,,False,1635320867747,False
2021-10-27T07:52:10Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),9930,AE,92.99.104.34,unknown,Watermelon Sugar,Harry Styles,Fine Line,spotify:track:6UelLqGlWMcVH1E5c4H7lY,,,,trackdone,endplay,False,,False,1635321119416,False
2021-10-27T07:53:32Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),82500,AE,92.99.104.34,unknown,Savage Love (Laxed - Siren Beat),Jawsh 685,Savage Love (Laxed - Siren Beat),spotify:track:1xQ6trAsedVPCdbtDAmk0c,,,,clickrow,endplay,False,,False,1635321130809,False
2021-10-27T07:53:37Z,txarhapocwncdtuoq8fj5cyq0,Windows 10 (10.0.22000; x64),3930,AE,92.99.104.34,unknown,Change My Clothes,Dream,Change My Clothes,spotify:track:4mnjwMLCk3JZkhkok3u5g1,,,,clickrow,endplay,False,,False,1635321213453,False
